title,link,tag,fixLink
Call to Arms Gates of Hell Ostfront по сети,https://online-fix.me/games/strategy/16651-call-to-arms-gates-of-hell-ostfront-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Call%20to%20Arms%20Gates%20of%20Hell%20Ostfront/Fix%20Repair/CtAGoHO_Fix_Repair_Steam_Generic.rar
Call To Arms по сети,https://online-fix.me/games/strategy/16490-call-to-arms-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Call%20To%20Arms/Fix%20Repair/CTA_Fix_Repair_Steam.rar
Carcassonne Tiles & Tactics по сети,https://online-fix.me/games/strategy/17289-carcassonne-tiles-tactics-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Carcassonne%20Tiles%20%26%20Tactics/Fix%20Repair/CTT_Fix_Repair_Steam_Generic.rar
Castle Story по сети,https://online-fix.me/games/strategy/16366-castle-story-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Castle%20Story/Fix%20Repair/CS_Fix_Repair_Steam_Generic.rar
CHESS CROWN по сети,https://online-fix.me/games/strategy/16860-chess-crown-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/CHESS%20CROWN/Fix%20Repair/CHESS_CROWN_Fix_Repair_Steam_Generic.rar
Circle Empires Rivals по сети,https://online-fix.me/games/strategy/16355-circle-empires-rivals-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Circle%20Empires%20Rivals/Fix%20Repair/CER_Fix_Repair_Steam_V3_Generic.rar
ClueCluedo The Classic Mystery Game по сети,https://online-fix.me/games/strategy/16632-cluecluedo-the-classic-mystery-game-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/ClueCluedo%20The%20Classic%20Mystery%20Game/Fix%20Repair/CCTCMG_Fix_Repair_Steam_V2_Generic.rar
ClueCluedo по сети,https://online-fix.me/games/strategy/17405-cluecluedo-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/ClueCluedo/Fix%20Repair/ClueCluedo_Fix_Repair_Steam_Generic.rar
Colony Siege по сети,https://online-fix.me/games/strategy/17126-colony-siege-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Colony%20Siege/Fix%20Repair/CS_Fix_Repair_Steam_Generic.rar
Commandos Origins по сети,https://online-fix.me/games/strategy/17753-commandos-origins-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Commandos%20Origins/Fix%20Repair/CommandosOrigins_Fix_Repair_Steam_Generic.rar
Company of Heroes 2 по сети,https://online-fix.me/games/strategy/17022-company-of-heroes-2-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Company%20of%20Heroes%202/Fix%20Repair/CoH2_Fix_Repair_GDK_Generic.rar
Cosmoteer Starship Architect and Commander по сети,https://online-fix.me/games/strategy/17339-cosmoteer-starship-architect-and-commander-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Cosmoteer%20Starship%20Architect%20and%20Commander/Fix%20Repair/CSAaC_Fix_Repair_Steam_Generic.rar
Creeper World 4 по сети,https://online-fix.me/games/strategy/16834-creeper-world-4-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Creeper%20World%204/Fix%20Repair/CW4_Fix_Repair_Steam_Generic.rar
CRIMESIGHT по сети,https://online-fix.me/games/strategy/17068-crimesight-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/CRIMESIGHT/Fix%20Repair/
Crusader Kings III по сети,https://online-fix.me/games/strategy/16458-crusader-kings-iii-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Crusader%20Kings%20III/Fix%20Repair/CrusaderKingsIII_Fix_Repair_Steam_V2_Generic.rar
Darkest Dungeon по сети,https://online-fix.me/games/strategy/16468-darkest-dungeon-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Darkest%20Dungeon/Fix%20Repair/DD_Fix_Repair_Steam_Generic.rar
Desynced по сети,https://online-fix.me/games/strategy/17317-desynced-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Desynced/Fix%20Repair/Desynced_Fix_Repair_Steam_Generic.rar
Dice Kingdoms по сети,https://online-fix.me/games/strategy/17249-dice-kingdoms-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Dice%20Kingdoms/Fix%20Repair/DK_Fix_Repair_Steam_V3_Generic.rar
Door Kickers по сети,https://online-fix.me/games/strategy/16438-door-kickers-po-seti.html,strategy,None
Dungeons 3 по сети,https://online-fix.me/games/strategy/16613-dungeons-3-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Dungeons%203/Fix%20Repair/FS19_Fix_Repair_Steam_Generic.rar
Dungeons 4 по сети,https://online-fix.me/games/strategy/17378-dungeons-4-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Dungeons%204/Fix%20Repair/Dungeons4_Fix_Repair_GDK_Generic.rar
Dungeons and Dragons Lords of Waterdeep по сети,https://online-fix.me/games/strategy/16888-dungeons-and-dragons-lords-of-waterdeep-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/D&D%20Lords%20of%20Waterdeep/Fix%20Repair/D%26DLOW_Fix_Repair_Steam_Generic.rar
DwarfHeim по сети,https://online-fix.me/games/strategy/17247-dwarfheim-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/DwarfHeim/Fix%20Repair/DwarfHeim_Fix_Repair_Steam_Generic.rar
EMERGENCY 20 по сети,https://online-fix.me/games/strategy/16552-emergency-20-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/EMERGENCY%2020/Fix%20Repair/Emergency20_Fix_Repair_Steam.rar
Endless Legend Emperor Edition по сети,https://online-fix.me/games/strategy/16322-endless-legend-emperor-edition-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Endless%20Legend%20Emperor%20Edition/Fix%20Repair/ELEE_Fix_Repair_Steam_V3_Generic.rar
Endless Space 2 по сети,https://online-fix.me/games/strategy/16403-endless-space-2-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Endless%20Space%202/Fix%20Repair/ES2_Fix_Repair_Steam_Generic.rar
Europa Universalis IV по сети,https://online-fix.me/games/strategy/16327-europa-universalis-iv-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Europa%20Universalis%20IV/Fix%20Repair/EUIV_Fix_Repair_Steam_V3_Generic.rar
Europa Universalis V по сети,https://online-fix.me/games/strategy/17930-europa-universalis-v-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Europa%20Universalis%20V/Fix%20Repair/EuropaUniversalisV_Fix_Repair_Steam_Generic.rar
EXFIL по сети,https://online-fix.me/games/strategy/17926-exfil-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/EXFIL/Fix%20Repair/EXFIL_Fix_Repair_Steam_Generic.rar
Extremely Realistic Siege Warfare Simulator по сети,https://online-fix.me/games/strategy/17293-extremely-realistic-siege-warfare-simulator-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Extremely%20Realistic%20Siege%20Warfare%20Simulator/Fix%20Repair/ERSWS_Fix_Repair_Steam_Generic.rar
Feudal Friends по сети,https://online-fix.me/games/strategy/17297-feudal-friends-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Feudal%20Friends/Fix%20Repair/FF_Fix_Repair_Steam.rar
