title,link,tag,fixLink
Bulletstorm Full Clip Edition по сети,https://online-fix.me/games/shooter/16811-bulletstorm-full-clip-edition-po-seti.html,shooter,https://uploads.online-fix.me:2053/uploads/Bulletstorm%20Full%20Clip%20Edition/Fix%20Repair/BFCE_Fix_Repair_Steam_Generic.rar
Cannibal Crossing по сети,https://online-fix.me/games/shooter/16629-cannibal-crossing-po-seti.html,shooter,https://uploads.online-fix.me:2053/uploads/Cannibal%20Crossing/Fix%20Repair/CC_Fix_Repair_Steam_Generic.rar
Cheaters Cheetah по сети,https://online-fix.me/games/shooter/17718-cheaters-cheetah-po-seti.html,shooter,https://uploads.online-fix.me:2053/uploads/Cheaters%20Cheetah/Fix%20Repair/CheatersCheetah_Fix_Repair_Steam_Generic.rar
Clandestine по сети,https://online-fix.me/games/shooter/16798-clandestine-po-seti.html,shooter,https://uploads.online-fix.me:2053/uploads/Clandestine/Fix%20Repair/Clandestine_Fix_Repair_Steam_Generic.rar
Clone Drone in the Danger Zone по сети,https://online-fix.me/games/shooter/17406-clone-drone-in-the-danger-zone-po-seti.html,shooter,https://uploads.online-fix.me:2053/uploads/Clone%20Drone%20in%20the%20Danger%20Zone/Fix%20Repair/CDitDZ_Fix_Repair_GDK_Generic.rar
Contagion по сети,https://online-fix.me/games/shooter/17073-contagion-po-seti.html,shooter,https://uploads.online-fix.me:2053/uploads/Contagion/Fix%20Repair/Contagion_Fix_Repair_Steam.rar
Contain по сети,https://online-fix.me/games/shooter/17433-contain-po-seti.html,shooter,https://uploads.online-fix.me:2053/uploads/Contain/Fix%20Repair/Contain_Fix_Repair_Steam_Generic.rar
CONTRA ROGUE CORPS по сети,https://online-fix.me/games/shooter/16402-contra-rogue-corps-po-seti.html,shooter,https://uploads.online-fix.me:2053/uploads/CONTRA%20ROGUE%20CORPS/Fix%20Repair/CRC_Fix_Repair_Steam_Generic.rar
Crab Champions по сети,https://online-fix.me/games/shooter/17243-crab-champions-po-seti.html,shooter,https://uploads.online-fix.me:2053/uploads/Crab%20Champions/Fix%20Repair/CrabChampions_Fix_Repair_Steam_Generic.rar
Crackdown 3 по сети,https://online-fix.me/games/shooter/16954-crackdown-3-po-seti.html,shooter,https://uploads.online-fix.me:2053/uploads/Crackdown%203/Fix%20Repair/Crackdown3_Fix_Repair_UWP_Generic.rar
Crisis VRigade 2 по сети,https://online-fix.me/games/shooter/16639-crisis-vrigade-2-po-seti.html,shooter,https://uploads.online-fix.me:2053/uploads/Crisis%20VRigade%202/Fix%20Repair/
CUSTOM MECH WARS по сети,https://online-fix.me/games/shooter/17449-custom-mech-wars-po-seti.html,shooter,https://uploads.online-fix.me:2053/uploads/CUSTOM%20MECH%20WARS/Fix%20Repair/CMW_Fix_Repair_Steam_Generic.rar
